venue_slug,position,question,answer
pleasant-park,1,Does Pleasant Park have lights?,"No, and it is a verified no rather than a gap. The town's court table reads ""No"" in the Lights column, and the park's own page gives basketball and pickleball court hours as sunrise to thirty minutes after sunset. It is the only unlit pickleball site in Apex, and also the largest."
pleasant-park,2,Can I check if the courts are busy before I go?,"Yes, uniquely. Pleasant Park's page carries a live court occupancy feed for its pickleball courts. No other venue in this directory publishes real-time availability."
pleasant-park,3,How many courts are there?,"Six, and the town says so twice: its court table lists Pleasant Park with 6, and the park's own features list reads ""6 Pickleball courts"". That makes it the biggest verified pickleball site in Apex."
kelly-road-park,1,Are the courts at Kelly Road Park dedicated to pickleball?,"No. The park's own features list calls them ""4 junior tennis / pickleball courts"", and the town's table notes they are also used for junior tennis. You will be playing on a junior tennis surface with pickleball lines on it."
kelly-road-park,2,Can I play here in the evening?,The town marks this venue as lit and publishes park hours of 6:30 a.m. to 10 p.m. year round. It does not state what time the lights come on or whether they are switched or timed.
kelly-road-park,3,Is there a restroom?,"Yes, restroom facilities are listed among the park's features on its own page."
kelly-road-park,4,Is Kelly Road Park the same as “Apex Kelly Rd Park”?,"Yes. The commercial dataset this directory started from holds two separate rows for this one park — “Kelly Road Park” and “Apex Kelly Rd Park” — both claiming four courts at the same place. We publish one venue, matched to the town's own record, and leave the duplicate row unpublished. Two rows for one park is an identity problem in the source data, and the fix is to resolve it rather than to quietly pick one and hope nobody notices the other."
seymour-athletic-fields,1,Which entrance do I want for the pickleball courts?,"2500 Evans Road, the Seymour Athletic Fields entrance. The other entrance, at 2600 Evans Road, opens onto the nature park side with the dog park, disc golf and amphitheatre. The town says there are parking lots at both and a paved walkway connecting them."
seymour-athletic-fields,2,How many pickleball courts are there?,"Four, from the town's court table, which also notes they are used for junior tennis. The park's own page confirms the courts exist and are lit but does not give a number, so this is the one Apex count that rests on a single page rather than two."
seymour-athletic-fields,3,What is this venue actually called?,"The town uses two names. Its pickleball table says ""Seymour Athletic Fields at Apex Nature Park""; the park page heads the section ""Seymour Athletic fields"" within a page titled Apex Nature Park & Seymour Athletic Fields. We publish the shorter form because the full one overruns the page-title limit."
apex-community-park,1,How many pickleball courts does Apex Community Park have?,"Three, and they are lit. The park's own features list states ""3 lighted pickleball courts"" outright, and the town's court table gives the same figure with Lights marked Yes."
apex-community-park,2,Which entrance should I use?,"The park entrance at 2200 Laura Duncan Road. The park publishes a second entrance, the Lake Trail entrance at 1808 Lake Pine Drive, which serves the lake and trails rather than the courts."
apex-community-park,3,What else is at this park?,"A great deal: six tennis courts, two basketball courts, three sand volleyball courts, two street hockey rinks, three ball fields with batting cages reserved for league play, a fitness course, playgrounds, restrooms, over three miles of trails, and a 50-plus acre lake with an accessible fishing dock and a vessel launch."
john-m-brown-community-center,1,Who can play indoors here?,"Players aged 55 and over, during designated open gym hours. That restriction comes from the town's own court table, and it publishes a separate Senior 55+ Indoor Pickleball Calendar for the schedule."
john-m-brown-community-center,2,Why are there no opening hours listed for this venue?,"Because the town publishes the building's hours, not the courts'. Pickleball runs during designated open gym hours, which is a subset of the time the building is open, so listing the building's hours as court hours would tell you that you can play at times when you cannot. We leave it unverified and point you at the calendar."
john-m-brown-community-center,3,Is this the same place as the Apex Community Center?,"Yes. The town states that the John M. Brown Community Center was formerly known as the Apex Community Center. That statement is what tied the old record in our imported data to the current facility, and both give the same count of four courts."
john-m-brown-community-center,4,Are these really the only verified indoor courts on this site?,"Yes, at the time of writing. Every other venue in this directory is outdoors. Raleigh runs indoor open play at thirteen community centres and Cary rents three indoor courts at Middle Creek, but neither publishes what we need — Raleigh gives no per-centre court count and Cary gives no street address — so neither publishes as a venue."
mccrimmon-park,1,Can I reserve a pickleball court at McCrimmon?,"No. The town marks the pickleball courts ""Non-reservable, first-come, first-served"". The lighted tennis court at the same park is reservable sixteen hours in advance, which is the opposite of what most people expect."
mccrimmon-park,2,How many pickleball courts are there?,"Six. The park's own page confirms lighted pickleball courts without giving a number; the count comes from the Cary Tennis Park page, which lists this site as having ""Six Lighted Tennis Courts and Six Lighted Pickleball Courts""."
mccrimmon-park,3,Can I play here in the evening?,"The courts are lit, and Cary runs open play here on Monday evenings from 7 to 9 p.m. Park hours are sunrise to sunset with an extension only for approved extended-use activities, up to 11 p.m. at the latest, so lighting does not by itself guarantee late casual play."
mccrimmon-park,4,Is this the same place as McCrimmon Park?,Yes. The town's own park page calls it the Neighborhood Park on McCrimmon Parkway; its Cary Tennis Park page calls it McCrimmon Park. We publish the park's own name and treat the shorter one as an alias.
ed-yerha-park,1,Does Ed Yerha Park have lights?,"The town does not say, so we do not claim it either way. Its page states no lighting for the courts and gives park hours as sunrise to sunset with no extension clause, unlike two other Cary parks. Treat it as a daylight venue until the town says otherwise."
ed-yerha-park,2,Is this the same as White Oak Park?,"Yes. Ed Yerha Park is the former White Oak Park, renamed for a councilmember who served from 2012 to 2022. The town's own page explains the change, and its open data still carries the old name on the same map point."
ed-yerha-park,3,Do I need to book a court?,"No. The town's status board for the park reads ""Pickleball Courts Open - First Come, First Served"". The picnic shelter is reservable; the courts are not."
carpenter-park,1,Are the pickleball courts at Carpenter Park dedicated?,"No. The town lists them as ""Multi-Sport Courts: Basketball & 3 Pickleball Courts"", so the three pickleball courts share their surface with basketball and you will be playing over other lines."
carpenter-park,2,Is there parking at Carpenter Park?,"Yes, and unusually the town says how much: ""Parking for 30 Cars"". No time limit, permit or fee is published. Bear in mind those thirty spaces serve a 16-acre park with a playground, community garden, picnic shelter, trails and a memorial as well as the courts."
carpenter-park,3,Can I play here after dark?,"Not on anything the town has published. Park hours are sunrise to sunset, with an extension only in lighted areas for approved extended-use activities. The page does not state that the pickleball courts themselves are lit, so we record lighting as not verified. Of Cary's three verified parks, only the Neighborhood Park on McCrimmon Parkway has lighted pickleball courts stated outright."
clarks-creek-park,1,How many pickleball courts does Clarks Creek Park have?,"Eight. Mecklenburg County names them individually rather than giving a total: courts 1 to 5 are reservable and courts 6 to 8 are open play, which is a complete run from 1 to 8 with no gaps and no court listed twice."
clarks-creek-park,2,Can I play here without booking?,"Yes, on three of the eight. Courts 6, 7 and 8 are permanently open play and cannot be reserved. That is the largest guaranteed walk-up allocation at any Charlotte park in this set."
clarks-creek-park,3,Are the courts lit?,"We do not know. Mecklenburg County publishes no lighting information for any of its courts, so this reads ""Not verified yet"" rather than yes or no. It is an absence of published information, not evidence that the courts are unlit."
clarks-creek-park,4,Is this the same as Clarks Creek Nature Preserve?,"No. The city's parks layer holds them as separate records on opposite sides of Hucks Road — the park at 5435 and the nature preserve at 5434 — and there is a third record, Clarks Creek Greenway Park, on Mallard Creek Road. The pickleball is at 5435 Hucks Road."
freedom-park,1,Why do Freedom Park's pickleball courts start at number 11?,"Because courts 1 to 10 at the same park are tennis courts, listed separately on the county's page. Mecklenburg runs one numbering series across both sports at this site instead of restarting it, so the pickleball block begins where the tennis block ends."
freedom-park,2,"How many pickleball courts are there, and which can I book?","Six, numbered 11 to 16. Courts 11, 12, 14 and 15 are reservable for a small fee; courts 13 and 16 are permanently open play. The county does not publish what the fee is."
freedom-park,3,Are the courts lit?,"Unknown. Mecklenburg County publishes no lighting information for any court in its system, so this reads ""Not verified yet"". Raleigh and Apex both publish lighting for every location; Charlotte does not."
clanton-park,1,How many courts are there and which are bookable?,"Six, numbered 1 to 6. Courts 1 to 4 are reservable for a small fee the county does not price; courts 5 and 6 are permanently open play and cannot be reserved."
clanton-park,2,"Which postcode is right, 28217 or 28208?","28217, on the evidence we have. The City of Charlotte parks layer gives 28217 for 1520 Clanton Road; the commercial dataset we started from carries 28208 for its Clanton Park row. We publish the operator's figure and record the disagreement rather than averaging two numbers that cannot both be right."
clanton-park,3,Is this the same as Clanton Park Community Garden?,No. The city's parks layer holds the community garden as a separate record at a different address on Revolution Park Drive. The pickleball courts are at 1520 Clanton Road.
clanton-park,4,How does the county decide which courts are bookable?,"It does not say, and the pattern is only visible once you line the parks up. Mecklenburg reserves most courts and keeps some back at every single one of its five pickleball parks — three at Clarks Creek, two here, two at Freedom, two at Martin Luther King Jr. and one at Beatty. Nineteen of the county's 29 courts are reservable and ten are permanently open play. So the policy is consistent even though it is never stated as a policy: whatever else is booked, a walk-up player always has somewhere to go, though at Beatty that means a single court."
martin-luther-king-jr-park,1,Which courts can I use without booking?,"Courts 1 and 4. Mecklenburg County lists courts 2, 3, 5 and 6 as reservable and leaves 1 and 4 as open play, so those two are always available first come, first served."
martin-luther-king-jr-park,2,Is this the same as Martin Luther King Jr. Middle School?,No. The city's parks layer holds the middle school as a separate record on Bilmark Avenue. The park with the pickleball courts is at 2600 Ravencroft Drive.
martin-luther-king-jr-park,3,What does the county publish about the courts themselves?,"Almost nothing. It identifies six courts and tells you which four are bookable. It publishes no lighting, no surface, no nets information, no hours and no reservation price for this or any other park in its system."
martin-luther-king-jr-park,4,How does this park compare with the rest of Charlotte?,"It sits in the middle. Six courts puts it level with Clanton Park and Freedom Park, behind Clarks Creek Park's eight and ahead of Colonel Francis J. Beatty Park's three. Its two guaranteed walk-up courts are the same allocation Clanton and Freedom get. What is unusual here is only the arrangement: at the other parks the open-play courts sit together at one end of the run, while here they are courts 1 and 4, spaced through the six."
martin-luther-king-jr-park,5,Does the county publish opening hours?,"Not for this park or any other. It says only that its local park courts ""are always open for play"", which describes access rather than a timetable — it does not tell you when the park gates close. We record hours as not verified rather than reading that sentence as round-the-clock access, which it plainly is not meant to be."
colonel-francis-j-beatty-park,1,Is this park in Charlotte or Matthews?,"Charlotte, though it takes a third source to settle it. The postcode 28105 is a Matthews mailing ZIP and many listings place the park there, while the City of Charlotte parks layer labels its city as Charlotte. The US Census geocoder places the park's published coordinates inside the incorporated place of Charlotte, in Mecklenburg County."
colonel-francis-j-beatty-park,2,How many pickleball courts are there?,"Three, numbered 1 to 3. Courts 2 and 3 are reservable for a small fee; court 1 is permanently open play. The park's tennis courts continue the same numbering at 4 to 6."
colonel-francis-j-beatty-park,3,What are my chances of getting a court without booking?,"Lower than anywhere else in Charlotte. Only court 1 is guaranteed open play, so if both bookable courts are reserved there is one court for every walk-up. Clarks Creek Park keeps three courts back and is the better bet if you have not booked."
baileywick-park,1,Are the pickleball courts at Baileywick Park covered?,"Partly. The park page lists Court A as covered and Court B as covered centre, and pickleball is scheduled on Courts A and B, so yes — though we still count these as outdoor courts, because a roof is not the same as being indoors. Court C, which pickleball does not normally use, is uncovered."
baileywick-park,2,When can I play pickleball at Baileywick?,"Raleigh Parks publishes the windows: Monday to Friday noon to 4 p.m., Saturday 3 to 9 p.m., and Sunday 7 a.m. to 2 p.m. Outside those hours the same courts are scheduled for basketball open play, a youth basketball league or futsal. The park page also asks you to check its holiday schedule."
