slug,name,city,state,county,postal_code,street_address,latitude,longitude,total_courts,indoor_courts,outdoor_courts,surface,light,nets_provided,covered,climate_control,fee_type,membership_from_usd,drop_in_fee_usd,pricing_notes,access_type,play_format,venue_type,level_of_play,court_availability,restroom,pro_shop,parking,amenities,hours_of_operation,phone,website,status,source_url,date_checked,verified_by,claimed_by_owner,claim_date,imported_slug
bitter-lake-playfield,Bitter Lake Playfield,Seattle,WA,King,98133,13035 Linden Ave N,47.7235023,-122.3498622,8,0,8,,true,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,bitter-lake-pickleball-and-tennis-courts
delridge-playfield,Delridge Playfield,Seattle,WA,King,98155,4458 Delridge Way SW,47.5633072,-122.3643528,4,0,4,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,delridge-pickleball-and-tennis-courts
green-lake-park-east-courts,Green Lake Park (East Courts),Seattle,WA,King,98101,7201 E Green Lake Dr N,47.6815308,-122.3283887,8,0,8,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,green-lake-pickleball-courts-seattle
alki-playground,Alki Playground,Seattle,WA,King,98116,5817 SW Lander St,47.578971,-122.4073133,4,0,4,,true,true,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-alki-playground-pickleball-and-tennis-courts
beacon-hill-park,Beacon Hill Park,Seattle,WA,King,98144,1902 13th Ave S,47.5860405,-122.3158558,4,0,4,,false,true,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-beacon-hill-playground-tennis-courts-seattle-wa
brighton-playfield,Brighton Playfield,Seattle,WA,King,98118,6000 39th Ave S,47.5487767,-122.2832712,4,0,4,,false,true,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-brighton-playfield-seattle-wa
dearborn-park,Dearborn Park,Seattle,WA,King,98108,2919 S Brandon St,47.5533634,-122.2945864,4,0,4,,false,,,,,,,,,,public_park,,,false,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-dearborn-park-seattle-wa
discovery-park,Discovery Park,Seattle,WA,King,98199,3801 Discovery Park Blvd,47.6576374,-122.4063471,4,0,4,,false,,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-discovery-park-tennis-and-pickleball-courts
georgetown-playfield,Georgetown Playfield,Seattle,WA,King,98108,750 S Homer St,47.5512128,-122.3219976,4,0,4,,false,,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-georgetown-playfield-tennis-and-pickleball-courts
gilman-playground,Gilman Playground,Seattle,WA,King,98107,923 NW 54th St,47.667077,-122.3696816,4,0,4,,false,true,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-gilman-playground-pickleball-and-tennis-courts
kinnear-park,Kinnear Park,Seattle,WA,King,98119,899 W Olympic Pl,47.628605,-122.368736,1,0,1,,false,,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-kinnear-park-queen-anne-seattle-wa
lakeridge-park,Lakeridge Park,Seattle,WA,King,10145,10145 Rainier Ave S,47.5108055,-122.2445081,2,0,2,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-lakeridge-playfield-pickleball-and-badminton-courts
laurelhurst-playfield,Laurelhurst Playfield,Seattle,WA,King,98105,4544 NE 41st St,47.6596823,-122.279564,1,0,1,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-laurelhurst-pickleball-court-seattle-wa
miller-playfield,Miller Playfield,Seattle,WA,King,98112,330 19th Ave E,47.621854,-122.3069193,5,0,5,,true,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-miller-playfield-pickleball-courts-capitol-hill
montlake-playfield,Montlake Playfield,Seattle,WA,King,98112,1618 E Calhoun St,47.6416972,-122.3100373,1,0,1,,false,,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-montlake-playfield-multisport-court-seattle-wa
mt-baker-park,Mt. Baker Park,Seattle,WA,King,98144,2521 Lake Park Dr S,47.5808807,-122.2880659,4,0,4,,true,true,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-mount-baker-pickleball-and-tennis-courts-seattle-wa
observatory-courts,Observatory Courts,Seattle,WA,King,98109,1405 Warren Ave N,47.6313907,-122.3550632,2,0,2,,false,,,,,,,,,,public_park,,,false,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-observatory-courts-queen-anne-seattle-wa
rainier-beach-playfield,Rainier Beach Playfield,Seattle,WA,King,98118,4707 S Cloverdale St,47.5236057,-122.2743914,8,0,8,,true,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-rainier-beach-playfield-seattle-wa
soundview-playfield,Soundview Playfield,Seattle,WA,King,98117,1590 NW 90th St,47.6947677,-122.3778335,4,0,4,,false,,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-soundview-playfield-tennis-and-pickleball-courts
south-park-playground,South Park Playground,Seattle,WA,King,98108,738 S Sullivan St,47.5283823,-122.3240541,1,0,1,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,seattle-south-park-playground-tennis-and-pickleball-courts
maple-leaf-reservoir-park-pickleball-courts-seattle,Maple Leaf Reservoir Park,Seattle,WA,King,,1020 NE 82nd St,47.69093129168872,-122.31700919680567,2,0,2,,false,true,,,,,,,,,public_park,,,true,,Street,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,
west-magnolia-playfield-pickleball-courts-seattle,West Magnolia Playfield,Seattle,WA,King,,2518 34th Ave W,47.64091773063457,-122.40029766441451,8,0,8,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,
walt-hundley-playfield-pickleball-courts-seattle,Walt Hundley Playfield,Seattle,WA,King,,6920 34th Ave SW,47.54025273069967,-122.37471219516154,4,0,4,,false,true,,,,,,,,,public_park,,,true,,Dedicated,,,,,published,https://services.arcgis.com/ZOyb2t4B0UYuYNYH/arcgis/rest/services/Pickleball_Courts/FeatureServer/0,2026-09-03,municipal_source,false,,
