city,state,total_rows,pass_i1,pass_i3,pass_i4,ready,meets_threshold,pages_unlocked,filters
"Jacksonville",FL,55,54,54,55,53,true,59,"indoor outdoor free public lights"
"Seattle",WA,63,63,53,63,53,true,59,"indoor outdoor free public lights"
"Sacramento",CA,55,51,55,55,51,true,56,"indoor outdoor free public"
"Lincoln",NE,51,51,49,51,49,true,55,"indoor outdoor free public lights"
"Atlanta",GA,55,52,49,55,46,true,52,"indoor outdoor free public lights"
"Charlotte",NC,50,48,47,50,45,true,51,"indoor outdoor free public lights"
"Indianapolis",IN,46,46,44,46,44,true,50,"indoor outdoor free public lights"
"Honolulu",HI,43,43,43,43,43,true,49,"indoor outdoor free public lights"
"Wichita",KS,46,43,46,46,43,true,48,"indoor outdoor public lights"
"Portland",OR,51,51,42,51,42,true,48,"indoor outdoor free public lights"
"Houston",TX,54,51,44,54,41,true,47,"indoor outdoor free public lights"
"San Francisco",CA,39,39,39,39,39,true,45,"indoor outdoor free public lights"
"Denver",CO,45,43,41,45,39,true,45,"indoor outdoor free public lights"
"Omaha",NE,41,39,40,41,38,true,44,"indoor outdoor free public lights"
"San Diego",CA,39,39,37,39,37,true,43,"indoor outdoor free public lights"
"Washington",DC,36,36,36,36,36,true,42,"indoor outdoor free public lights"
"The Villages",FL,39,39,38,39,38,true,41,"outdoor public"
"Tucson",AZ,37,36,36,37,35,true,41,"indoor outdoor free public lights"
"Naples",FL,38,37,36,38,35,true,40,"indoor outdoor public lights"
"Las Vegas",NV,41,40,35,41,34,true,40,"indoor outdoor free public lights"
"Austin",TX,45,41,36,45,34,true,40,"indoor outdoor free public lights"
"Boise",ID,36,35,36,36,35,true,39,"indoor outdoor public"
"Madison",WI,37,36,34,37,33,true,38,"indoor outdoor public lights"
"Knoxville",TN,34,33,33,34,32,true,38,"indoor outdoor free public lights"
"Dallas",TX,43,41,34,43,32,true,38,"indoor outdoor free public lights"
"Colorado Springs",CO,34,32,33,34,31,true,37,"indoor outdoor free public lights"
"Alexandria",VA,31,30,31,31,30,true,36,"indoor outdoor free public lights"
"Spokane",WA,30,30,29,30,29,true,35,"indoor outdoor free public lights"
"Mesa",AZ,32,32,30,32,30,true,34,"outdoor public lights"
"Phoenix",AZ,31,31,28,31,28,true,34,"indoor outdoor free public lights"
"St. Louis",MO,30,30,28,30,28,true,34,"indoor outdoor free public lights"
"Roanoke",VA,28,28,28,28,28,true,34,"indoor outdoor free public lights"
"Aurora",CO,28,27,27,28,26,true,30,"indoor outdoor public"
"Fort Worth",TX,28,28,25,28,25,true,30,"indoor outdoor public lights"
"Louisville",KY,31,30,25,31,24,true,30,"indoor outdoor free public lights"
"San Antonio",TX,29,29,24,29,24,true,30,"indoor outdoor free public lights"
"Charlottesville",VA,25,24,24,25,24,true,29,"indoor outdoor public lights"
"Fort Wayne",IN,26,23,26,26,23,true,29,"indoor outdoor free public lights"
"Marietta",GA,24,24,24,24,24,true,28,"indoor outdoor public"
"Des Moines",IA,25,24,25,25,24,true,28,"indoor outdoor public"
"Nashville",TN,28,28,23,28,23,true,28,"indoor outdoor public lights"
"Appleton",WI,25,24,24,25,23,true,28,"indoor outdoor public lights"
"Virginia Beach",VA,23,23,22,23,22,true,28,"indoor outdoor free public lights"
"Raleigh",NC,24,24,21,24,21,true,27,"indoor outdoor free public lights"
"Richmond",VA,23,23,21,23,21,true,27,"indoor outdoor free public lights"
"Lewes",DE,22,22,22,22,22,true,26,"indoor outdoor public"
"Frederick",MD,24,24,22,24,22,true,26,"indoor outdoor public"
"St. Petersburg",FL,22,21,21,22,20,true,26,"indoor outdoor free public lights"
"Chicago",IL,22,21,21,22,20,true,26,"indoor outdoor free public lights"
"Melbourne",FL,20,20,20,20,20,true,25,"indoor outdoor public lights"
"Reno",NV,20,20,20,20,20,true,25,"indoor outdoor public lights"
"Tulsa",OK,20,20,20,20,20,true,25,"indoor outdoor public lights"
"Elk Grove",CA,21,21,19,21,19,true,25,"indoor outdoor free public lights"
"Springfield",MO,19,19,19,19,19,true,25,"indoor outdoor free public lights"
"Pittsburgh",PA,19,19,19,19,19,true,25,"indoor outdoor free public lights"
"Palm Desert",CA,20,19,19,20,19,true,24,"outdoor free public lights"
"Orlando",FL,23,23,19,23,19,true,24,"indoor outdoor public lights"
"Philadelphia",PA,20,20,19,20,19,true,24,"indoor outdoor public lights"
"Lexington",KY,22,21,19,22,18,true,24,"indoor outdoor free public lights"
"Asheville",NC,18,18,18,18,18,true,24,"indoor outdoor free public lights"
"Albuquerque",NM,21,20,19,21,18,true,24,"indoor outdoor free public lights"
"San Jose",CA,22,22,19,22,19,true,23,"outdoor free public"
"Anchorage",AK,23,19,22,23,18,true,23,"indoor outdoor free public"
"Ocala",FL,19,19,18,19,18,true,23,"indoor outdoor public lights"
"Columbus",OH,18,18,18,18,18,true,23,"indoor outdoor public lights"
"Vancouver",WA,24,24,18,24,18,true,23,"indoor outdoor public lights"
"Tampa",FL,17,17,17,17,17,true,23,"indoor outdoor free public lights"
"Cincinnati",OH,20,20,17,20,17,true,23,"indoor outdoor free public lights"
"Wilmington",DE,19,19,18,19,18,true,22,"indoor outdoor public"
"Boston",MA,21,21,18,21,18,true,22,"indoor outdoor public"
"Bradenton",FL,19,18,18,19,17,true,22,"indoor outdoor public lights"
"Rochester",NY,18,18,17,18,17,true,22,"indoor outdoor public lights"
"Salem",OR,18,17,18,18,17,true,22,"indoor outdoor public lights"
"Scottsdale",AZ,20,20,16,20,16,true,22,"indoor outdoor free public lights"
"Charleston",SC,17,17,16,17,16,true,22,"indoor outdoor free public lights"
"Plano",TX,18,18,16,18,16,true,22,"indoor outdoor free public lights"
"Fort Collins",CO,17,17,16,17,16,true,21,"indoor outdoor public lights"
"Carmel",IN,16,16,16,16,16,true,21,"indoor outdoor free public"
"Rockville",MD,18,17,17,18,16,true,21,"indoor outdoor public lights"
"Silver Spring",MD,21,20,17,21,16,true,21,"indoor outdoor public lights"
"Henderson",NV,18,18,16,18,16,true,21,"outdoor free public lights"
"Bellingham",WA,16,16,16,16,16,true,21,"indoor outdoor public lights"
"Sarasota",FL,23,23,15,23,15,true,21,"indoor outdoor free public lights"
"Cary",NC,16,16,15,16,15,true,21,"indoor outdoor free public lights"
"Tacoma",WA,16,15,16,16,15,true,21,"indoor outdoor free public lights"
"Miami",FL,17,17,17,17,17,true,20,"outdoor public"
"Huntsville",AL,25,18,23,25,16,true,20,"indoor outdoor public"
"Boynton Beach",FL,17,17,16,17,16,true,20,"indoor outdoor lights"
"Fort Myers",FL,17,17,16,17,16,true,20,"outdoor public lights"
"Nampa",ID,16,16,16,16,16,true,20,"indoor outdoor public"
"Minneapolis",MN,16,16,16,16,16,true,20,"indoor outdoor public"
"Gainesville",FL,19,17,17,19,15,true,20,"indoor outdoor public lights"
"Baton Rouge",LA,16,15,16,16,15,true,20,"indoor outdoor free public"
"New York",NY,17,15,17,17,15,true,20,"indoor outdoor public lights"
"Myrtle Beach",SC,15,15,15,15,15,true,20,"indoor outdoor public lights"
"Peoria",AZ,15,15,15,15,15,true,19,"indoor outdoor public"
"Roseville",CA,17,17,15,17,15,true,19,"indoor outdoor public"
"Baltimore",MD,15,15,15,15,15,true,19,"outdoor free public"
"Littleton",CO,15,15,14,15,14,true,19,"indoor outdoor public lights"
"Cedar Rapids",IA,16,15,15,16,14,true,19,"indoor outdoor free public"
"Klamath Falls",OR,14,14,14,14,14,true,19,"indoor outdoor public lights"
"Sioux Falls",SD,14,14,14,14,14,true,19,"indoor outdoor public lights"
"The Woodlands",TX,16,16,14,16,14,true,19,"indoor outdoor public lights"
"Orem",UT,16,15,15,16,14,true,19,"indoor outdoor public lights"
"Lynchburg",VA,16,15,15,16,14,true,19,"indoor outdoor public lights"
"Greensboro",NC,14,13,14,14,13,true,19,"indoor outdoor free public lights"
"Medford",OR,14,14,13,14,13,true,19,"indoor outdoor free public lights"
"El Paso",TX,19,18,14,19,13,true,19,"indoor outdoor free public lights"
"Meridian",ID,15,14,15,15,14,true,18,"indoor outdoor public"
"Newark",DE,15,14,14,15,13,true,18,"indoor outdoor free public"
"Tallahassee",FL,14,14,13,14,13,true,18,"indoor outdoor public lights"
"Poughkeepsie",NY,13,13,13,13,13,true,18,"indoor outdoor public lights"
"Arlington",TX,16,15,14,16,13,true,18,"indoor outdoor public lights"
"Katy",TX,17,17,13,17,13,true,18,"indoor outdoor public lights"
"Oshkosh",WI,14,13,14,14,13,true,18,"indoor outdoor public lights"
"Durham",NC,14,13,13,14,12,true,18,"indoor outdoor free public lights"
"Akron",OH,12,12,12,12,12,true,18,"indoor outdoor free public lights"
"Canton",OH,13,13,12,13,12,true,18,"indoor outdoor free public lights"
"Arlington",VA,12,12,12,12,12,true,18,"indoor outdoor free public lights"
"Redmond",WA,18,18,12,18,12,true,18,"indoor outdoor free public lights"
"Green Bay",WI,12,12,12,12,12,true,18,"indoor outdoor free public lights"
"Menifee",CA,14,13,14,14,13,true,17,"outdoor free public"
"West Des Moines",IA,16,14,15,16,13,true,17,"indoor outdoor public"
"Bakersfield",CA,13,12,13,13,12,true,17,"outdoor free public lights"
"Overland Park",KS,13,13,12,13,12,true,17,"indoor outdoor public lights"
"Santa Fe",NM,12,12,12,12,12,true,17,"indoor outdoor public lights"
"Chattanooga",TN,14,13,13,14,12,true,17,"indoor outdoor public lights"
"Corpus Christi",TX,18,17,13,18,12,true,17,"indoor outdoor public lights"
"Salt Lake City",UT,12,12,12,12,12,true,17,"indoor outdoor public lights"
"Manassas",VA,16,16,12,16,12,true,17,"indoor outdoor public lights"
"Birmingham",AL,13,12,12,13,11,true,17,"indoor outdoor free public lights"
"Columbia",SC,12,12,11,12,11,true,17,"indoor outdoor free public lights"
"Amarillo",TX,13,12,12,13,11,true,17,"indoor outdoor free public lights"
"St. Augustine",FL,13,13,13,13,13,true,16,"outdoor public"
"Flagstaff",AZ,13,12,13,13,12,true,16,"indoor outdoor public"
"Venice",FL,12,12,12,12,12,true,16,"indoor outdoor public"
"Cartersville",GA,12,12,12,12,12,true,16,"indoor outdoor public"
"Bloomington",IL,12,12,12,12,12,true,16,"indoor outdoor public"
"Green Valley",AZ,11,11,11,11,11,true,16,"outdoor free public lights"
"Yuma",AZ,12,12,11,12,11,true,16,"outdoor free public lights"
"Annapolis",MD,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Columbia",MD,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Cornelius",NC,14,13,12,14,11,true,16,"indoor outdoor public lights"
"Springfield",OH,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Lancaster",PA,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Mechanicsburg",PA,11,11,11,11,11,true,16,"outdoor free public lights"
"Memphis",TN,12,11,12,12,11,true,16,"indoor free public lights"
"Fredericksburg",VA,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Bellevue",WA,24,23,12,24,11,true,16,"indoor outdoor public lights"
"Wheeling",WV,11,11,11,11,11,true,16,"indoor outdoor public lights"
"Apex",NC,10,10,10,10,10,true,16,"indoor outdoor free public lights"
"Chapel Hill",NC,10,10,10,10,10,true,16,"indoor outdoor free public lights"
"Las Cruces",NM,10,10,10,10,10,true,16,"indoor outdoor free public lights"
"Corvallis",OR,11,10,11,11,10,true,16,"indoor outdoor free public lights"
