slug,city,state,postal_code,derived_county,method,confidence,share,reason
"alaska-club-west","Anchorage",AK,,"",none,0,,"no postal_code"
"juneau-valley-club","Juneau",AK,,"",none,0,,"no postal_code"
"sand-point-school-sand-point","Sand Point",AK,,"",none,0,,"no postal_code"
"alaska-club-wasilla","Wasilla",AK,,"",none,0,,"no postal_code"
"central-alabama-community-college-alexander-city","Alexander City",AL,35010,"Tallapoosa",zip_nearest_county_centroid,0.78,0.773,"ZCTA spans 3 counties; nearest county centroid is 17 km away, next is 27 km (margin 10 km)"
"arab-recreation-center","Arab",AL,35016,"Marshall",zip_nearest_county_centroid,0.78,0.6867,"ZCTA spans 4 counties; nearest county centroid is 16 km away, next is 35 km (margin 19 km)"
"ardmore-park-ardmore","Ardmore",AL,35739,"Limestone",zip_nearest_county_centroid,0.78,0.5547,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 36 km (margin 13 km)"
"meek-baptist-church","Arley",AL,35541,"Winston",zip_nearest_county_centroid,0.78,0.9892,"ZCTA spans 2 counties; nearest county centroid is 16 km away, next is 32 km (margin 16 km)"
"auburn-pickleball","Auburn",AL,36831,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"lake-wilmore-park-auburn","Auburn",AL,36830,"Lee",zip_nearest_county_centroid,0.78,0.5563,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 32 km (margin 20 km)"
"samford-avenue-courts","Auburn",AL,36830,"Lee",zip_nearest_county_centroid,0.78,0.5563,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 32 km (margin 20 km)"
"heardmont-park-54","Birmingham",AL,35242,"Shelby",zip_nearest_county_centroid,0.78,0.799,"ZCTA spans 2 counties; nearest county centroid is 12 km away, next is 27 km (margin 14 km)"
"sicard-hollow-athletic-complex-shac-birmingham","Birmingham",AL,35242,"Jefferson",zip_nearest_county_centroid,0.6,0.201,"ZCTA spans 2 counties; nearest county centroid is 23 km away, next is 23 km (margin 0 km) — OVERRODE the larger-by-land-area candidate"
