city_key,wanted_slug,slug,name,street_address,total_courts,latitude,longitude,km_apart
CA/bakersfield/beale-park,beale-park,beale-park,Beale Park,1904 Palm Street,6,35.3614151,-119.0235353,0.164
CA/bakersfield/beale-park,beale-park,beale-park-13179,Beale Park,500 Oleander Ave,6,35.3622881,-119.0249926,0.164
CA/burbank/burbank-tennis-center,burbank-tennis-center,burbank-tennis-center,Burbank Tennis Center,249 E Amherst Dr.,1,34.1898519,-118.321806,1.652
CA/burbank/burbank-tennis-center,burbank-tennis-center,burbank-tennis-center-14271,Burbank Tennis Center,1515 N. Glenoaks Blvd,2,34.1812089,-118.307201,1.652
CA/la-quinta/fritz-burns-park,fritz-burns-park,fritz-burns-park,Fritz Burns Park,78107 Avenue 52,8,33.6729884,-116.300754,0.673
CA/la-quinta/fritz-burns-park,fritz-burns-park,fritz-burns-park-6637,Fritz Burns Park,78100 Francis Hack Ln,8,33.677474,-116.2958789,0.673
CA/lafayette/lafayette-community-center,lafayette-community-center,lafayette-community-center,Lafayette Community Center,500 St. Mary's Road,6,37.8643659,-122.1000792,2.853
CA/lafayette/lafayette-community-center,lafayette-community-center,lafayette-community-center-11908,Lafayette Community Center,Lafayette Community Venter,6,37.8857582,-122.1180201,2.853
CA/palm-desert/chaparral-country-club,chaparral-country-club,chaparral-country-club,Chaparral Country Club,100 Chaparral Dr,8,33.74244,-116.379279,1.545
CA/palm-desert/chaparral-country-club,chaparral-country-club,chaparral-country-club-622,Chaparral Country Club,"Palm Desert, CA",2,33.7288179,-116.382571,1.545
CA/sacramento/curtis-park,curtis-park,curtis-park,Curtis Park,3349 West Curtis Drive,2,38.5441708,-121.4801609,4.272
CA/sacramento/curtis-park,curtis-park,curtis-park-666,Curtis Park,"E. Curtis Dr. , 9th Ave.",2,38.5810606,-121.493895,4.272
CA/sacramento/heritage-park,heritage-park,heritage-park,Heritage Park,2481 Heritage Park Ln,3,38.682389,-121.518491,0.620
CA/sacramento/heritage-park,heritage-park,heritage-park-667,Heritage Park,Heritage Park At Aspen Valley,3,38.6807708,-121.5253315,0.620
CO/aurora/highland-hollow-park,highland-hollow-park,highland-hollow-park,Highland Hollow Park,1358 S. Uravan St,4,39.6917024,-104.7783237,7.053
CO/aurora/highland-hollow-park,highland-hollow-park,highland-hollow-park-763,Highland Hollow Park,"1400 South Uravan St , Buckley & Mississippi",2,39.7405111,-104.830994,7.053
CO/colorado-springs/vista-park-pickleball-courts,vista-park-pickleball-courts,vista-park-pickleball-courts,Vista Park Pickleball Courts,https://maps.app.goo.gl/p2CSMfuWAWohzMHa6?g_st=ic,8,38.8339578,-104.825348,17.532
CO/colorado-springs/vista-park-pickleball-courts,vista-park-pickleball-courts,vista-park-pickleball-courts-13226,Vista Park Pickleball Courts,9841 Vista Del Pico Blvd,8,38.9306102,-104.665323,17.532
CO/denver/northfield-high-school,northfield-high-school,northfield-high-school,Northfield High School,5500 Central Park Blvd,4,39.7970524,-104.8822871,0.152
CO/denver/northfield-high-school,northfield-high-school,northfield-high-school-9503,Northfield High School,"56th Ave and, Dallas St",4,39.7976002,-104.8839128,0.152
CO/eagle/eagle-valley-elementary,eagle-valley-elementary,eagle-valley-elementary,Eagle Valley Elementary,61 Mill Road,3,39.6567585,-106.8174503,20.418
CO/eagle/eagle-valley-elementary,eagle-valley-elementary,eagle-valley-elementary-7509,Eagle Valley Elementary,61 Mill Street,3,39.6430194,-106.5796285,20.418
CO/pagosa-springs/south-yamaguchi-park,south-yamaguchi-park,south-yamaguchi-park,South Yamaguchi Park,684 S 5th Street,8,37.2574758,-107.0129614,1.358
CO/pagosa-springs/south-yamaguchi-park,south-yamaguchi-park,south-yamaguchi-park-13171,South Yamaguchi Park,37.25403481,8,37.2695661,-107.010816,1.358
CO/wheat-ridge/prospect-park,prospect-park,prospect-park,Prospect Park,W 44th Avenue and Robb Street,6,39.766098,-105.0772063,2.067
CO/wheat-ridge/prospect-park,prospect-park,prospect-park-13789,Prospect Park,w 44th Ave,6,39.7776074,-105.0961979,2.067
CT/newtown/fairfield-hills,fairfield-hills,fairfield-hills,Fairfield Hills,Keating Farms Rd,6,41.4134764,-73.3086445,2.411
CT/newtown/fairfield-hills,fairfield-hills,fairfield-hills-10840,Fairfield Hills,8 Simpson Street,8,41.399867,-73.286138,2.411
CT/south-windsor/rye-street-park,rye-street-park,rye-street-park,Rye Street Park,476 Rye St,6,41.8612037,-72.5732664,1.038
CT/south-windsor/rye-street-park,rye-street-park,rye-street-park-12047,Rye Street Park,Rye Street,8,41.8589164,-72.5854234,1.038
CT/stamford/cummings-park,cummings-park,cummings-park,Cummings Park,Cummings Park Rd,2,41.0534302,-73.5387341,3.019
CT/stamford/cummings-park,cummings-park,cummings-park-10855,Cummings Park,Shippan Ave.,2,41.0285525,-73.5243162,3.019
FL/debary/bill-keller-park,bill-keller-park,bill-keller-park,Bill Keller Park,338 Colomba Rd,2,28.8806162,-81.2837868,2.454
FL/debary/bill-keller-park,bill-keller-park,bill-keller-park-1045,Bill Keller Park,338 1/2 Colomba Rd.,2,28.8830604,-81.3088385,2.454
FL/gainesville/tom-petty-park,tom-petty-park,tom-petty-park,Tom Petty Park,501 NE 16th Ave,8,29.665235,-82.3203149,0.163
FL/gainesville/tom-petty-park,tom-petty-park,tom-petty-park-11984,Tom Petty Park,400 NE 16th Ave,4,29.666676,-82.3206308,0.163
FL/jacksonville/isle-of-palms-park,isle-of-palms-park,isle-of-palms-park,Isle of Palms Park,3780 Eunice Rd,2,30.2772661,-81.4338538,0.091
FL/jacksonville/isle-of-palms-park,isle-of-palms-park,isle-of-palms-park-1112,Isle Of Palms Park,"3770 Eunice Road , Beach Blvd",4,30.2780186,-81.4342187,0.091
FL/jupiter/jupiter-community-park,jupiter-community-park,jupiter-community-park,Jupiter Community Park,1201 Island Way,8,26.9360364,-80.1399197,1.396
